ParcelID,Address,Ward,Neigh,AssN,Usage,Description,BldgSF,Front,Side 1,LotSF,Add#,Street
44530001800,4816 Palm St,1,55,301,Residential,1 Story Brick Residence,750,25.0,107.5,2344.0,4816,Palm
54640000200,4960 Margaretta Av,1,69,301,Residential,2 Story Frame Residence,1330,35.0,118.95,4163.0,4960,Margaretta
54640000500,4950 Margaretta Av,1,69,301,Residential,2 Story Frame Residence,1330,30.0,120.58,6796.0,4950,Margaretta
43800401400,4939 Penrose St,1,69,302,Residential,2 Story Frame Residence,1116,37.5,115.0,4208.0,4939,Penrose
43831700610,4122 Clara Pl,1,69,302,Residential,1 Story Frame Residence,560,75.0,110.0,8192.645155,4122,Clara
43831702200,4113 Walbridge Pl,1,69,302,Residential,1 Story Frame Residence **,630,25.0,110.0,2750.0,4113,Walbridge
43831702400,4107 Walbridge Pl,1,69,302,Residential,1 Story Frame Residence,952,50.0,110.0,3150.0,4107,Walbridge
43910102700,4875 Carter Av,1,69,302,Residential,2 Story Frame Residence,912,30.0,120.0,4198.0,4875,Carter
54630001000,4936 Farlin Av,1,69,302,Residential,2 Story Frame Residence,1184,30.0,120.0,3600.0,4936,Farlin
44810302100,4756 Ashland Av,1,55,307,Residential,1 Story Brick Residence,783,25.0,166.33,4944.0,4756,Ashland
50910000800,4926 Geraldine Av,1,71,326,Residential,2 Story Frame Residence **,970,33.33,127.5,4388.0,4926,Geraldine
50910000900,4930 Geraldine Av,1,71,326,Residential,2 Story Frame Residence,914,33.33,127.5,4311.0,4930,Geraldine
50800001600,5452 Geraldine Av,1,71,327,Residential,2 Story Frame Residence,1440,30.0,127.5,3825.0,5452,Geraldine
50810001300,5448 Union Blvd,1,71,327,Residential,1 Story Frame Residence **,957,33.33,127.5,3961.0,5448,Union
50810001800,5462 Union Blvd,1,71,327,Residential,1 Story Brick Residence,760,25.0,127.5,2827.0,5462,Union
50810003700,5429 Geraldine Av,1,71,327,Residential,2 Story Frame Residence,1610,25.0,127.5,3276.0,5429,Geraldine
50840001000,5334 Union Blvd,1,71,327,Residential,1.5 Story Frame Residence,1197,25.0,127.5,3188.0,5334,Union
50840002100,5370 Union Blvd,1,71,327,Residential,1 Story Brick Residence,880,25.0,127.5,3187.0,5370,Union
50840003650,5345 Geraldine Av,1,71,327,Residential,1.5 Story Concrete Block Residence,1042,100.0,127.5,12538.0,5345,Geraldine
50840004200,5321 Geraldine Av,1,71,327,Residential,1 Story Frame Residence,920,25.0,127.5,3211.0,5321,Geraldine
50840004500,5309 Geraldine Av,1,71,327,Residential,2 Story Frame Residence,1536,33.5,127.5,4285.0,5309,Geraldine
50850000300,5306 Geraldine Av,1,71,327,Residential,2 Story Frame Residence,1488,25.0,127.5,3237.0,5306,Geraldine
50860002100,5064 Geraldine Av,1,71,327,Residential,1 Story Frame Residence,721,25.0,127.5,3113.0,5064,Geraldine
50860002200,5066 Geraldine Av,1,71,327,Residential,1 Story Frame Residence,782,25.0,127.5,3230.0,5066,Geraldine
50870001100,5028 Union Blvd,1,71,327,Residential,1 Story Brick Residence,917,25.0,128.0,3054.0,5028,Union
50870001200,5032 Union Blvd,1,71,327,Residential,1 Story Brick Residence,928,25.0,128.0,3090.0,5032,Union
50870001900,5050 Union Blvd,1,71,327,Residential,1 Story Brick Residence,983,30.0,128.0,3815.0,5050,Union
50870006600,5011 Geraldine Av,1,71,327,Residential,2 Story Frame Residence,1680,25.0,128.0,3378.0,5011,Geraldine
50880000800,5030 Claxton Av,1,71,327,Residential,1 Story Brick Residence,702,29.0,125.0,3467.0,5030,Claxton
50880003500,5091 Union Blvd,1,71,327,Residential,2 Story Frame Residence,1080,25.0,120.6,2770.0,5091,Union
50880003600,5089 Union Blvd,1,71,327,Residential,2 Story Frame Residence,1344,25.0,120.08,3194.0,5089,Union
50880006100,5015 Union Blvd,1,71,327,Residential,1 Story Frame Residence,672,30.0,123.83,3830.0,5015,Union
51410002400,5353 Queens Av,1,71,328,Residential,2 Story Brick Residence,1600,43.0,172.5,6552.0,5353,Queens
52610001000,4949 Harney Av,1,71,329,Residential,1 Story Frame Residence,1120,50.0,112.5,5479.0,4949,Harney
52610004000,4914 Ashby Av,1,71,329,Residential,1 Story Frame Residence,696,25.0,112.0,3069.0,4914,Ashby
52620002700,4966 Harney Av,1,71,329,Residential,1 Story Frame Residence,722,25.0,112.5,2812.0,4966,Harney
54660000200,4917 Ashby Av,1,71,329,Residential,2 Story Frame Residence,945,30.0,112.5,3375.0,4917,Ashby
54660000700,4935 Ashby Av,1,71,329,Residential,2 Story Frame Residence,1088,25.0,112.6,2848.0,4935,Ashby
54680001000,4945 Thekla Av,1,71,329,Residential,2 Story Frame Residence,753,30.0,104.6,3138.0,4945,Thekla
54680004200,4920 Leahy Av,1,71,329,Residential,1 Story Frame Residence,776,25.0,104.58,2637.0,4920,Leahy
45000100400,5044 Terry Av,1,52,343,Residential,1 Story Brick Residence,990,25.0,150.0,3731.0,5044,Terry
45020500100,5226 Maffitt Av,1,52,343,Residential,1 Story Brick Residence,877,31.66,134.66,4057.0,5226,Maffitt
45020500200,5224 Maffitt Av,1,52,343,Residential,1 Story Brick Residence,877,31.66,134.33,4298.0,5224,Maffitt
45020500700,5208 Maffitt Av,1,52,343,Residential,2 Story Brick Residence,981,25.0,134.0,3271.0,5208,Maffitt
45060003250,5101 Cote Brilliante Av,1,52,343,Residential,1.5 Story Brick Residence,1472,29.0,148.6,4576.0,5101,Cote Brilliante
45060004000,5203 Cote Brilliante Av,1,52,343,Residential,1 Story Brick Residence,1056,27.0,148.5,3596.0,5203,Cote Brilliante
45060004150,5209 Cote Brilliante Av,1,52,343,Residential,1 Story Brick Residence,1056,27.0,148.5,4428.0,5209,Cote Brilliante
45110001200,5230 Cote Brilliante Av,1,52,343,Residential,2 Story Brick Residence,1760,25.0,150.0,3524.0,5230,Cote Brilliante
45110001800,5212 Cote Brilliante Av,1,52,343,Residential,2 Story Frame Residence,896,30.0,150.0,4757.0,5212,Cote Brilliante
50280000800,5238 Terry Av,1,52,343,Residential,1 Story Brick Residence,996,28.0,142.5,3975.0,5238,Terry
45180006000,5383 St Louis Av,1,50,344,Residential,1.5 Story Frame Residence,1130,37.08,134.0,4033.0,5383,St Louis
52470001600,3009 Union Blvd,1,50,344,Residential,1.5 Story Brick Residence,825,30.0,125.0,3894.0,3009,Union
52470002000,5321 Labadie Av,1,50,344,Residential,2.5 Story Frame Residence,1320,40.0,133.0,5320.0,5321,Labadie
33890003000,5209 Blair Av,2,66,312,Residential,2 Story Brick Residence,1600,25.0,117.6,3101.0,5209,Blair
42880001400,8951 Newby St,2,74,333,Residential,1 Story Frame Residence,720,25.83,127.5,3877.0,8951,Newby
63630001800,869 Nassau Dr,2,74,333,Residential,1 Story Frame Residence,768,50.0,83.46,4432.0,869,Nassau
52760002400,870 Canaan Av,2,74,334,Residential,2 Story Frame Residence,1344,30.0,137.5,4620.0,870,Canaan
52770000500,962 Elias Av,2,74,334,Residential,1 Story Frame Residence,874,40.0,127.5,5333.0,962,Elias
52770000700,954 Elias Av,2,74,334,Residential,1 Story Frame Residence,528,30.0,127.5,3846.97,954,Elias
52770000800,952 Elias Av,2,74,334,Residential,1 Story Frame Residence,858,60.0,127.5,7752.0,952,Elias
53990001300,928 Harlan Av,2,74,334,Residential,1 Story Frame Residence,816,37.0,127.5,4958.0,928,Harlan
53990003100,845 Elias Av,2,74,334,Residential,1.5 Story Frame Residence,1440,40.0,127.5,5383.0,845,Elias
54000003400,875 Harlan Av,2,74,334,Residential,1 Story Frame Residence,768,37.6,121.9,5030.0,875,Harlan
54010001200,8653 N Broadway,2,74,334,Residential,1 Story Frame Residence,714,25.0,120.0,3000.0,8653,Broadway
42500001600,8309 Church Rd,2,74,335,Residential,1.5 Story Frame Residence,972,30.0,140.0,4698.0,8309,Church
42530000700,8417 Halls Ferry Rd,2,74,335,Residential,1 Story Frame Residence,792,25.0,91.54,2004.0,8417,Halls Ferry
42930002200,8425 Lowell St,2,74,336,Residential,1 Story Concrete Block Residence,705,28.1,107.1,2219.0,8425,Lowell
42930002500,8417 Lowell St,2,74,336,Residential,1 Story Concrete Block Residence,705,28.83,107.83,2247.0,8417,Lowell
42940001300,8554 N Broadway,2,74,336,Residential,1 Story Frame Residence,1056,30.0,191.0,4386.0,8554,Broadway
42940001500,8560 N Broadway,2,74,336,Residential,2 Story Frame Residence,726,30.0,191.0,4769.0,8560,Broadway
42940003800,707 Doddridge St,2,74,336,Residential,1.5 Story Frame Residence,704,30.0,123.42,2831.0,707,Doddridge
54530001300,601 Logan St,2,74,336,Residential,1 Story Frame Residence,1040,67.5,145.5,10085.0,601,Logan
56300001300,600 Logan St,2,74,336,Residential,1 Story Frame Residence,816,41.0,127.5,6702.0,600,Logan
9750002300,2703 James Cool Papa Bell Av,3,59,256,Residential,2 Story Brick Rowhouse,1552,16.5,118.25,1922.0,2703,James Cool Papa Bell
18730002400,2423 Fall Av,3,59,309,Residential,2 Story Brick Residence,910,16.66,107.0,1699.0,2423,Fall
23830001300,2521 N Spring Av,3,59,309,Residential,2 Story Brick Residence,1356,25.0,120.0,3000.0,2521,Spring
23840003900,2728 Prairie Av,3,59,309,Residential,2 Story Brick Residence,1694,26.0,89.0,2312.0,2728,Prairie
36290200600,3848 Kennerly Av,3,59,309,Residential,2 Story Brick Residence,1408,25.0,100.0,2478.0,3848,Kennerly
48720002400,3729 Maffitt Av,3,59,309,Residential,2 Story Brick Residence,1184,25.0,140.0,3500.0,3729,Maffitt
48720003100,2740 Prairie Av,3,59,309,Residential,1 Story Brick Residence,844,25.5,114.0,2668.0,2740,Prairie
48720003400,2748 Prairie Av,3,59,309,Residential,1 Story Brick Residence,844,25.5,114.16,2791.0,2748,Prairie
23900000300,3642 Hebert St,3,59,310,Residential,1 Story Brick Residence,1074,25.0,162.18,3921.0,3642,Hebert
23910002000,3641 Hebert St,3,59,310,Residential,1 Story Brick Residence,967,25.0,162.0,3913.0,3641,Hebert
23910002200,3647 Hebert St,3,59,310,Residential,1 Story Brick Residence,1074,25.0,162.0,4092.0,3647,Hebert
36280001000,3832 St Louis Av,3,59,310,Residential,2 Story Brick Residence,1546,30.0,142.5,4147.0,3832,St Louis
51860000900,3834 Sullivan Av,3,59,310,Residential,2.5 Story Brick Residence,1644,33.0,135.5,4471.0,3834,Sullivan
24870001800,4246 Gano Av,3,67,311,Residential,1 Story Brick Residence,1089,25.0,107.5,2806.0,4246,Gano
24870003400,4231 John Av,3,67,311,Residential,2 Story Brick Residence,1700,28.66,107.5,3087.0,4231,John
24880000700,3726 Penrose St,3,67,311,Residential,1 Story Brick Residence,704,25.0,102.62,2538.0,3726,Penrose
33540001200,4230 Desoto Av,3,67,311,Residential,1 Story Brick Residence,943,25.0,120.0,2909.0,4230,Desoto
33540002100,4258 Desoto Av,3,67,311,Residential,2 Story Frame Residence,864,24.37,120.0,4622.0,4258,Desoto
33540002800,4241 Prairie Av,3,67,311,Residential,2 Story Frame Residence,1286,20.0,120.0,2325.0,4241,Prairie
33540003400,4227 Prairie Av,3,67,311,Residential,2 Story Brick Residence,1302,50.0,120.0,6025.0,4227,Prairie
33540003600,4219 Prairie Av,3,67,311,Residential,1 Story Brick Residence,666,25.0,120.0,2787.0,4219,Prairie
33550001600,4252 Linton Av,3,67,311,Residential,1 Story Brick Residence,884,25.0,120.0,2431.0,4252,Linton
33550001700,4254 Linton Av,3,67,311,Residential,2 Story Brick Residence,1780,43.42,75.8,3593.0,4254,Linton
33550003100,4227 Desoto Av,3,67,311,Residential,2 Story Brick Residence,1496,25.0,125.0,2903.0,4227,Desoto
33550003300,4221 Desoto Av,3,67,311,Residential,2 Story Brick Residence,1396,25.0,120.0,2942.0,4221,Desoto
33550003400,4219 Desoto Av,3,67,311,Residential,2 Story Brick Residence,1235,25.0,120.0,2825.0,4219,Desoto
33560003100,4349 Desoto Av,3,67,311,Residential,1 Story Frame Residence,834,25.0,120.0,3000.0,4349,Desoto
33560003200,4347 Desoto Av,3,67,311,Residential,2 Story Frame Residence,875,25.0,120.0,2778.0,4347,Desoto
33950000800,4224 College Av,3,67,311,Residential,1 Story Brick Residence,906,25.0,120.0,2813.0,4224,College
33950003600,4211 Linton Av,3,67,311,Residential,2 Story Brick Residence **,1792,25.0,120.0,2983.0,4211,Linton
35770001250,3909 Lee Av,3,67,311,Residential,1 Story Brick & Frame Residence,800,25.0,109.7,2605.0,3909,Lee
35780001000,3810 Penrose St,3,67,311,Residential,2 Story Frame Residence,1414,25.0,108.0,2700.0,3810,Penrose
35870006400,3917 Sherman Pl,3,67,311,Residential,1 Story Brick Residence,799,25.0,110.0,2726.0,3917,Sherman
24740000700,1532 John Av,3,66,312,Residential,3 Story Brick Residence,1496,29.0,110.0,3070.0,1532,John
24740002100,1511-5 Obear Av,3,66,312,Residential,2 Story Brick Residence,1666,31.66,120.0,3325.0,1511,Obear
24760000500,2034 Gano Av,3,66,312,Residential,1 Story Brick Residence,774,25.0,110.0,2750.0,2034,Gano
24760000600,2030 Gano Av,3,66,312,Residential,1 Story Frame Residence,944,25.0,110.0,2574.0,2030,Gano
24760000700,2028 Gano Av,3,66,312,Residential,2 Story Frame Residence,1520,45.0,100.0,4500.0,2028,Gano
24760000900,2020 Gano Av,3,66,312,Residential,2 Story Brick Residence,1576,25.0,110.0,2649.0,2020,Gano
24800001500,2117 Obear Av,3,66,312,Residential,2 Story Brick Residence,1632,20.0,112.6,1978.0,2117,Obear
33080000200,2144 E Prairie Av,3,66,312,Residential,1.5 Story Brick Residence,833,50.0,112.15,5139.0,2144,Prairie
33080001800,2115 Gano Av,3,66,312,Residential,2 Story Frame Residence,1134,25.0,112.5,2813.0,2115,Gano
33090003200,2041 Gano Av,3,66,312,Residential,1 Story Brick Residence,1065,25.0,112.51,2812.0,2041,Gano
33100001200,1826 E Prairie Av,3,66,312,Residential,1 Story Brick Residence,990,25.0,112.5,2658.0,1826,Prairie
33100002000,1509 Gano Av,3,66,312,Residential,1 Story Brick Residence,512,25.0,112.5,2541.0,1509,Gano
33510003500,2045 E Prairie Av,3,66,312,Residential,2 Story Brick Residence,1550,25.0,116.62,3113.0,2045,Prairie
33510003600,2047 E Prairie Av,3,66,312,Residential,2 Story Brick Residence,1550,25.0,116.62,2974.0,2047,Prairie
33520000200,2132 Desoto Av,3,66,312,Residential,2 Story Frame Residence,960,25.0,108.0,2721.0,2132,Desoto
33520000800,2116 Desoto Av,3,66,312,Residential,2 Story Frame Residence,512,23.5,112.75,2538.0,2116,Desoto
33520001700,2111-3 E Prairie Av,3,66,312,Residential,1 Story Brick Residence,1215,39.5,113.5,4605.0,2111,Prairie
12390001500,2014 Newhouse Av,3,65,313,Residential,2 One Story Brick Residences,1018,50.1,120.2,6638.0,2014,Newhouse
12390001900,3945 N 20th St,3,65,313,Residential,3 Story Brick Residence,1536,40.0,140.0,5857.0,3945,20th
24060002100,1925 Newhouse Av,3,65,313,Residential,2 Story Brick Residence,1256,25.0,127.5,2898.0,1925,Newhouse
24120000900,1114 Angelica St,3,65,313,Residential,2 Story Brick Residence,1710,25.0,130.08,3550.0,1114,Angelica
24120001400,4015 N 11th St,3,65,313,Residential,2 Story Brick Residence,1438,25.0,115.0,2854.0,4015,11th
24120001500,4011 N 11th St,3,65,313,Residential,2 Story Brick Residence,1370,30.0,115.0,3482.0,4011,11th
24120001700,4005 N 11th St,3,65,313,Residential,2 Story Brick Residence,1460,25.0,115.0,2903.0,4005,11th
24320000600,4318 Strodtman Pl,3,66,313,Residential,2 Story Brick Residence,1312,25.0,117.5,2883.0,4318,Strodtman
24320000700,4320 Strodtman Pl,3,66,313,Residential,1 Story Brick Residence,640,25.0,117.5,2937.0,4320,Strodtman
24320000800,4322 Strodtman Pl,3,66,313,Residential,2 Story Brick Residence,1734,25.0,117.5,2937.0,4322,Strodtman
24320002601,4429 N 20th St,3,66,313,Residential,2 Story Brick Residence,1738,24.96,117.5,3202.0,4429,20th
24320002700,4427 N 20th St,3,66,313,Residential,2 Story Brick Residence,1724,50.0,117.5,5984.0,4427,20th
24330000400,4306 N Florissant Av,3,66,313,Residential,2 Story Brick Residence,1534,16.05,133.03,1857.0,4306,Florissant
24350001000,4234 N Florissant Av,3,65,313,Residential,1.5 Story Brick Residence,841,25.0,105.0,2625.0,4234,Florissant
24360000900,4248 N 21st St,3,65,313,Residential,1 Story Brick Residence,850,25.0,136.75,3425.0,4248,21st
24420000900,4328 Blair Av,3,66,313,Residential,2 Story Brick Residence,1562,25.0,186.83,4681.0,4328,Blair
24420001400,4406 Blair Av,3,66,313,Residential,2 Story Brick Residence,1556,25.0,186.9,4562.0,4406,Blair
24420004400,4309 Randall Pl,3,66,313,Residential,2 Story Frame Residence,1209,25.0,127.5,2830.0,4309,Randall
24430000800,4320 19th St,3,66,313,Residential,1 Story Brick Residence **,850,25.0,130.0,3264.0,4320,19th
24430001200,4330 19th St,3,66,313,Residential,1 Story Frame Residence,985,25.0,130.0,3157.0,4330,19th
24430001400,4336 19th St,3,66,313,Residential,1 Story Frame Residence,760,25.0,130.0,3338.620081,4336,19th
24430002700,4426 19th St,3,66,313,Residential,2 Story Brick Residence **,1534,25.0,130.0,3311.0,4426,19th
24430004200,4413 Blair Av,3,66,313,Residential,2 Story Brick Residence,1528,25.0,129.7,3111.0,4413,Blair
24430004900,4329 Blair Av,3,66,313,Residential,2 Story Brick Residence,1376,25.0,131.5,6832.0,4329,Blair
24440000800,4326 N 20th St,3,66,313,Residential,2 Story Brick Residence,1736,27.0,134.5,3148.0,4326,20th
24440002350,1908 Bissell St,3,66,313,Residential,2 Story Brick Residence,1088,25.0,58.66,1377.0,1908,Bissell
24440003600,4409 19th St,3,66,313,Residential,2 Story Frame Residence w/Brick Addition,1702,25.0,130.0,3493.0,4409,19th
24440003700,4407 19th St,3,66,313,Residential,2 Story Brick Residence,1748,25.0,130.0,3250.0,4407,19th
24440004400,4325 19th St,3,66,313,Residential,2 Story Brick Residence,1700,25.0,130.0,3250.0,4325,19th
24460000500,1417 Bissell St,3,66,313,Residential,1 Story Brick Residence,900,29.5,100.0,2889.0,1417,Bissell
19460000800,4117 Glasgow Av,3,67,314,Residential,2 Story Brick Residence,1464,25.0,87.42,2186.0,4117,Glasgow
23990000400,4018 Glasgow Av,3,65,314,Residential,1 Story Brick Residence,626,25.0,106.08,2801.0,4018,Glasgow
23990000500,4020 Glasgow Av,3,65,314,Residential,1 Story Brick Residence,626,25.0,106.8,2902.657978,4020,Glasgow
23990000600,4022 Glasgow Av,3,65,314,Residential,1 Story Brick Residence,626,25.0,106.2,2656.0,4022,Glasgow
24010000800,4032 N 23rd St,3,65,314,Residential,2 Story Brick Residence,1620,25.0,128.0,2946.0,4032,23rd
24020001700,4021 N Florissant Av,3,65,314,Residential,2 Story Brick Residence **,1358,25.0,139.5,3488.0,4021,Florissant
24020002400,4001 N Florissant Av,3,65,314,Residential,2 Story Frame Residence,1296,25.0,139.5,3488.0,4001,Florissant
24200001000,4115 N 22nd St,3,65,314,Residential,1 Story Brick Residence **,1186,28.0,140.0,3903.0,4115,22nd
24220000800,4167 Peck St,3,67,314,Residential,1 Story Brick Residence,1564,34.08,112.5,3834.0,4167,Peck
24230000300,4134 Peck St,3,67,314,Residential,2 Story Brick Residence,1770,25.0,120.0,3000.0,4134,Peck
24250001600,4157 Glasgow Av,3,67,314,Residential,2 Story Brick Residence,1688,25.0,87.9,2112.0,4157,Glasgow
24280000600,4212 Peck St,3,67,314,Residential,2 Story Frame Residence,1020,25.0,120.0,3100.0,4212,Peck
24280002700,4235 Pleasant St,3,67,314,Residential,1 Story Frame Residence,713,25.0,120.0,3062.0,4235,Pleasant
24290001400,4237 Peck St,3,67,314,Residential,1 Story Brick Residence,984,25.0,112.5,2671.0,4237,Peck
24290001800,4225 Peck St,3,67,314,Residential,1 Story Brick Residence,1209,40.0,112.5,4500.0,4225,Peck
24290002000,4219 Peck St,3,67,314,Residential,1 Story Brick Residence,1127,40.0,112.5,4619.0,4219,Peck
24290002300,4209 Peck St,3,67,314,Residential,1 Story Brick Residence,908,27.0,112.5,3037.0,4209,Peck
24340201000,4235 N Florissant Av,3,65,314,Residential,1 Story Brick Residence,1035,30.0,141.4,4117.0,4235,Florissant
10730001500,2521 W Sullivan Av,3,60,317,Residential,1 Story Brick Residence,990,25.0,144.0,3990.0,2521,Sullivan
11400000300,1916 Palm St,3,63,341,Residential,2 Story Brick Residence,1464,25.0,147.04,3637.97,1916,Palm
11400000400,1914 Palm St,3,63,341,Residential,2.5 Story Brick Residence,1708,25.0,147.04,3636.84,1914,Palm
11410000800,1510 Palm St,3,63,341,Residential,2.5 Story Brick Residence,1508,33.0,147.33,4778.45,1510,Palm
11550000500,3252 19th St,3,65,341,Residential,2 Story Brick Residence,1772,32.83,159.0,5203.0,3252,19th
11580001000,3249 N 20th St,3,65,341,Residential,2 Story Brick Residence,1754,30.0,126.0,3783.0,3249,20th
11600001200,2111 Branch St,3,65,341,Residential,1 Story Brick Residence,760,51.9,65.14,3318.0,2111,Branch
11670001100,3607 N 20th St,3,65,341,Residential,2 Story Brick Residence,1216,35.0,50.0,1673.0,3607,20th
11680001850,2017 Destrehan St,3,65,341,Residential,1.5 Story Frame Residence,940,39.0,100.0,3900.0,2017,Destrehan
11720501500,1919 Agnes St,3,65,341,Residential,1 Story Brick Residence,704,29.0,93.0,2639.0,1919,Agnes
11720600600,1916 Agnes St,3,65,341,Residential,1 Story Brick Residence,704,29.0,93.0,2692.0,1916,Agnes
11720601900,1923 Angelrodt St,3,65,341,Residential,1 Story Frame Residence,936,30.0,92.8,2805.0,1923,Angelrodt
11730600200,1922 Garden St,3,65,341,Residential,1 Story Brick Residence **,773,30.0,84.5,2489.0,1922,Garden
11810601400,1507 Angelrodt St,3,65,341,Residential,2 Story Frame Residence **,887,25.83,93.83,2426.0,1507,Angelrodt
37320002200,3905 Evans Av,4,58,231,Residential,2 Story Brick Residence,1678,22.85,100.15,3310.0,3905,Evans
37330001400,4028 Evans Av,4,58,231,Residential,2 Story Brick Attached Row House,1782,17.76,153.0,2717.0,4028,Evans
37330001600,4024 Evans Av,4,58,231,Residential,2 Story Brick Attached Row House,1782,18.28,153.0,2796.0,4024,Evans
37720000900,4722 Vernon Av,4,54,234,Residential,2.5 Story Brick Residence,1774,31.3,145.0,4352.0,4722,Vernon
37720002200,4636 Vernon Av,4,54,234,Residential,2 Story Brick Residence **,1540,25.0,145.0,4207.0,4636,Vernon
37720004000,4619 Newberry Ter,4,54,234,Residential,2.5 Story Brick Residence,1470,25.0,145.0,3616.0,4619,Newberry
37720006600,4737 Newberry Ter,4,54,234,Residential,3 Story Brick Residence,1690,25.0,145.0,3471.0,4737,Newberry
37730000200,4718 Page Blvd,4,54,234,Residential,2 Story Brick Residence **,1504,25.0,125.0,3293.0,4718,Page
37740302900,4524 Evans Av,4,54,234,Residential,2 Story Brick Residence,1276,25.0,153.0,3825.0,4524,Evans
37740304100,1309 N Taylor Av,4,54,234,Residential,2 Story Brick Residence,1594,30.0,110.88,3190.0,1309,Taylor
37740306300,4573 Page Blvd,4,54,234,Residential,2.5 Story Brick Residence,1656,25.0,153.0,3792.0,4573,Page
37760002500,4547 Evans Av,4,54,234,Residential,1 Story Brick Residence,788,25.0,140.0,3235.0,4547,Evans
37760002600,4549 Evans Av,4,54,234,Residential,1 Story Brick Residence,788,25.0,140.0,3500.061288,4549,Evans
37100202600,3009 N Taylor Av,4,56,307,Residential,1 Story Brick Residence,1116,26.5,145.0,4770.0,3009,Taylor
37100203900,4557 Labadie Av,4,56,307,Residential,2 Story Brick Residence,1430,25.0,160.0,4707.0,4557,Labadie
37110102300,4659 St Louis Av,4,56,307,Residential,1 Story Brick Residence,902,25.0,150.0,4372.0,4659,St Louis
44470403300,3520 N Taylor Av,4,56,307,Residential,2 Story Brick Residence,1666,30.0,131.42,3942.0,3520,Taylor
44470403400,3524 N Taylor Av,4,56,307,Residential,2 Story Brick Residence,1666,30.0,131.25,3339.0,3524,Taylor
44480503500,4527 Lexington Av,4,56,307,Residential,1 Story Brick Residence,1175,29.42,181.83,5423.0,4527,Lexington
44490100100,4620 Lexington Av,4,56,307,Residential,1 Story Brick Residence,748,27.37,182.06,5426.0,4620,Lexington
44490102100,3512 Cora Av,4,56,307,Residential,1 Story Brick Residence,1035,29.5,97.92,2864.0,3512,Cora
44600002000,4667 Elmbank Av,4,56,307,Residential,1 Story Brick Residence,798,25.0,107.0,2777.0,4667,Elmbank
44600002900,3410 Marcus Av,4,56,307,Residential,1 Story Brick Residence,1012,26.5,120.0,3068.0,3410,Marcus
44620502000,4534 Ashland Av,4,56,307,Residential,1 Story Brick Residence **,1092,26.33,146.0,3976.0,4534,Ashland
44620503800,4515 Elmbank Av,4,56,307,Residential,1 Story Brick Residence,864,21.21,128.5,3251.0,4515,Elmbank
44690503400,4427 Labadie Av,4,56,307,Residential,2 Story Frame Residence,1146,25.0,165.0,3905.0,4427,Labadie
44690504000,4447 Labadie Av,4,56,307,Residential,1 Story Brick Residence,1104,28.33,169.5,4730.0,4447,Labadie
44690504200,4451 Labadie Av,4,56,307,Residential,1 Story Brick Residence,1104,26.5,165.0,3287.0,4451,Labadie
44800000200,4854 Greer Av,4,55,307,Residential,3 Story Brick Residence,1794,25.0,155.0,4259.0,4854,Greer
44800001900,4804 Greer Av,4,55,307,Residential,1 Story Brick Residence,1080,25.0,155.0,3524.0,4804,Greer
44800003300,4742 Greer Av,4,55,307,Residential,2 Story Brick Residence,1716,50.0,155.0,7764.0,4742,Greer
44800005300,4729 Labadie Av,4,55,307,Residential,2 Story Brick Residence,1494,25.0,150.0,3125.0,4729,Labadie
37120001600,4637 Maffitt Av,4,56,308,Residential,1 Story Brick Residence,966,25.0,145.0,3625.0,4637,Maffitt
37120001700,4639 Maffitt Av,4,56,308,Residential,2 Story Brick Residence,1024,25.0,145.0,3625.0,4639,Maffitt
37120002100,4649 Maffitt Av,4,56,308,Residential,1 Story Brick Residence,794,26.0,145.0,3920.0,4649,Maffitt
37130002400,4633 Kennerly Av,4,56,308,Residential,2 Story Brick Residence,1496,25.0,145.0,3625.0,4633,Kennerly
37130003000,4649 Kennerly Av,4,56,308,Residential,2 Story Frame Residence,1672,25.0,145.0,3685.9256065,4649,Kennerly
37800001500,4766 Leduc St,4,55,308,Residential,1 Story Brick Residence,817,25.0,238.58,5939.0,4766,Leduc
