ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Front,Side I,LotSF,Add#,Street
44530000400,4864 Palm St,1,55,301,Vacant Lot,,20.0,107.5,2457.0,4864,Palm
44530001900,4814 Palm St,1,55,301,Vacant Lot,,30.0,107.5,3477.0,4814,Palm
44530002250,4800 Palm St,1,55,301,Vacant Lot,,50.0,107.6,5312.9997825,4800,Palm
44540003300,4857R Palm St,1,55,301,Vacant Lot,,18.0,120.0,3908.921171,4857,Palm
44550002250,4947-9 Palm St,1,55,301,Vacant Lot,,50.0,130.0,6021.0,4947,Palm
44550002350,4951-3 Palm St,1,55,301,Vacant Lot,,50.0,130.0,6254.0,4951,Palm
44550002400,4957 Palm St,1,55,301,Vacant Lot,,50.0,150.0,6681.0,4957,Palm
44560000400,4958 Palm St,1,55,301,Vacant Lot,,32.5,100.0,3327.0,4958,Palm
44560000800,4932 Palm St,1,55,301,Vacant Lot,,32.5,100.0,3300.0,4932,Palm
44560003100,4935 Lexington Av,1,55,301,Vacant Lot,,32.5,100.0,3243.7773635,4935,Lexington
44560003700,4963 Lexington Av,1,55,301,Vacant Lot,,32.5,100.0,3407.0,4963,Lexington
44560003800,4965 Lexington Av,1,55,301,Vacant Lot,,32.66,100.0,3776.0,4965,Lexington
44900102000,4901-17 Cote Brilliante Av,1,55,301,Vacant Lot,,130.96,146.23,19121.0,4901,Cote Brilliante
44930200900,4934 St Louis Av,1,55,301,Vacant Lot,,28.0,128.0,3543.0,4934,St Louis
44930202300,4913 Terry Av,1,55,301,Vacant Lot,,2.25,127.92,288.0,4913,Terry
44930203500,4953 Terry Av,1,55,301,Vacant Lot,,25.0,127.94,3371.0,4953,Terry
52600002400,4909 St Louis Av,1,55,301,Vacant Lot,,36.0,127.5,4590.0,4909,St Louis
52600002500,4909 1/2 St Louis Av,1,55,301,Vacant Lot,,1.0,127.5,317.0,4909,St Louis
52600003300,4933 St Louis Av,1,55,301,Vacant Lot,,30.0,127.5,4429.0,4933,St Louis
52600003600,4941 St Louis Av,1,55,301,Vacant Lot,,30.0,127.5,3982.0,4941,St Louis
43800300100,4241 N Euclid Av,1,69,302,Vacant Lot,,33.04,115.0,3255.238551,4241,Euclid
43800300200,4237 N Euclid Av,1,69,302,Vacant Lot,,33.33,115.0,4081.752595,4237,Euclid
43800300800,4215 N Euclid Av,1,69,302,Vacant Lot,,26.62,115.0,3061.507721,4215,Euclid
43800301700,4220 Aubert Av,1,69,302,Vacant Lot,,25.0,115.0,3118.249121,4220,Aubert
43800301900,4226 Aubert Av,1,69,302,Vacant Lot,,25.0,120.0,3000.0,4226,Aubert
43800302000,4230 Aubert Av,1,69,302,Vacant Lot,,25.0,115.0,3263.2093115,4230,Aubert
