ParcelID,Address,Ward,Neigh,AssN,Usage,Description,BldgSF,Front,Side1,LotSF,Add#,Street,laglng,latlng
43870001800,4910 San Francisco Av,1,69,301,Residential,1 Story Brick Residence,1127,28.0,135.0,3170.0,4910,San Francisco,"{'lat': 38.6761699, 'lng': -90.2487908}","{'lat': 38.6761699, 'lng': -90.2487908}"
54640000200,4960 Margaretta Av,1,69,301,Residential,2 Story Frame Residence,1330,35.0,118.95,4163.0,4960,Margaretta,"{'lat': 38.6783661, 'lng': -90.24930739999999}","{'lat': 38.6783661, 'lng': -90.24930739999999}"
43831700610,4122 Clara Pl,1,69,302,Residential,1 Story Frame Residence,560,75.0,110.0,8192.645155,4122,Clara,"{'lat': 38.679691, 'lng': -90.24777499999999}","{'lat': 38.679691, 'lng': -90.24777499999999}"
43831702200,4113 Walbridge Pl,1,69,302,Residential,1 Story Frame Residence **,630,25.0,110.0,2750.0,4113,Walbridge,"{'lat': 38.679188, 'lng': -90.24762899999999}","{'lat': 38.679188, 'lng': -90.24762899999999}"
43831702400,4107 Walbridge Pl,1,69,302,Residential,1 Story Frame Residence,952,50.0,110.0,3150.0,4107,Walbridge,"{'lat': 38.6790865, 'lng': -90.24760239999999}","{'lat': 38.6790865, 'lng': -90.24760239999999}"
43910102800,4877 Carter Av,1,69,302,Residential,2 Story Frame Residence,912,30.0,120.0,3600.0,4877,Carter,"{'lat': 38.683571, 'lng': -90.242181}","{'lat': 38.683571, 'lng': -90.242181}"
54630001000,4936 Farlin Av,1,69,302,Residential,2 Story Frame Residence,1184,30.0,120.0,3600.0,4936,Farlin,"{'lat': 38.6787784, 'lng': -90.2480607}","{'lat': 38.6787784, 'lng': -90.2480607}"
50910000800,4926 Geraldine Av,1,71,326,Residential,2 Story Frame Residence **,970,33.33,127.5,4388.0,4926,Geraldine,"{'lat': 38.6888607, 'lng': -90.2478682}","{'lat': 38.6888607, 'lng': -90.2478682}"
50800001600,5452 Geraldine Av,1,71,327,Residential,2 Story Frame Residence,1440,30.0,127.5,3825.0,5452,Geraldine,"{'lat': 38.693388, 'lng': -90.239459}","{'lat': 38.693388, 'lng': -90.239459}"
50810001300,5448 Union Blvd,1,71,327,Residential,1 Story Frame Residence **,957,33.33,127.5,3961.0,5448,Union,"{'lat': 38.6940219, 'lng': -90.240304}","{'lat': 38.6940219, 'lng': -90.240304}"
50810001800,5462 Union Blvd,1,71,327,Residential,1 Story Brick Residence,760,25.0,127.5,2827.0,5462,Union,"{'lat': 38.694251, 'lng': -90.239891}","{'lat': 38.694251, 'lng': -90.239891}"
50840001000,5334 Union Blvd,1,71,327,Residential,1.5 Story Frame Residence,1197,25.0,127.5,3188.0,5334,Union,"{'lat': 38.6923689, 'lng': -90.2434275}","{'lat': 38.6923689, 'lng': -90.2434275}"
50840002100,5370 Union Blvd,1,71,327,Residential,1 Story Brick Residence,880,25.0,127.5,3187.0,5370,Union,"{'lat': 38.6929408, 'lng': -90.24245049999999}","{'lat': 38.6929408, 'lng': -90.24245049999999}"
50840004200,5321 Geraldine Av,1,71,327,Residential,1 Story Frame Residence,920,25.0,127.5,3211.0,5321,Geraldine,"{'lat': 38.6916946, 'lng': -90.24346899999999}","{'lat': 38.6916946, 'lng': -90.24346899999999}"
50850000300,5306 Geraldine Av,1,71,327,Residential,2 Story Frame Residence,1488,25.0,127.5,3237.0,5306,Geraldine,"{'lat': 38.691165, 'lng': -90.24352139999999}","{'lat': 38.691165, 'lng': -90.24352139999999}"
50860002100,5064 Geraldine Av,1,71,327,Residential,1 Story Frame Residence,721,25.0,127.5,3113.0,5064,Geraldine,"{'lat': 38.6904225, 'lng': -90.2449353}","{'lat': 38.6904225, 'lng': -90.2449353}"
50860002200,5066 Geraldine Av,1,71,327,Residential,1 Story Frame Residence,782,25.0,127.5,3230.0,5066,Geraldine,"{'lat': 38.6904691, 'lng': -90.2448804}","{'lat': 38.6904691, 'lng': -90.2448804}"
50870001100,5028 Union Blvd,1,71,327,Residential,1 Story Brick Residence,917,25.0,128.0,3054.0,5028,Union,"{'lat': 38.6905379, 'lng': -90.24665399999999}","{'lat': 38.6905379, 'lng': -90.24665399999999}"
50870002700,5072 Union Blvd,1,71,327,Residential,2 Story Frame Residence,990,30.0,128.0,3840.0,5072,Union,"{'lat': 38.6912393, 'lng': -90.2455155}","{'lat': 38.6912393, 'lng': -90.2455155}"
50880000800,5030 Claxton Av,1,71,327,Residential,1 Story Brick Residence,702,29.0,125.0,3467.0,5030,Claxton,"{'lat': 38.6913455, 'lng': -90.2473182}","{'lat': 38.6913455, 'lng': -90.2473182}"
50880003500,5091 Union Blvd,1,71,327,Residential,2 Story Frame Residence,1080,25.0,120.6,2770.0,5091,Union,"{'lat': 38.691865, 'lng': -90.2452194}","{'lat': 38.691865, 'lng': -90.2452194}"
52610001000,4949 Harney Av,1,71,329,Residential,1 Story Frame Residence,1120,50.0,112.5,5479.0,4949,Harney,"{'lat': 38.6890959, 'lng': -90.23808969999999}","{'lat': 38.6890959, 'lng': -90.23808969999999}"
52620002700,4966 Harney Av,1,71,329,Residential,1 Story Frame Residence,722,25.0,112.5,2812.0,4966,Harney,"{'lat': 38.6892992, 'lng': -90.23876779999999}","{'lat': 38.6892992, 'lng': -90.23876779999999}"
54660000200,4917 Ashby Av,1,71,329,Residential,2 Story Frame Residence,945,30.0,112.5,3375.0,4917,Ashby,"{'lat': 38.6888575, 'lng': -90.2365883}","{'lat': 38.6888575, 'lng': -90.2365883}"
54660000700,4935 Ashby Av,1,71,329,Residential,2 Story Frame Residence,1088,25.0,112.6,2848.0,4935,Ashby,"{'lat': 38.689221, 'lng': -90.2369535}","{'lat': 38.689221, 'lng': -90.2369535}"
44980000900,5234 St Louis Av,1,52,343,Residential,1 Story Brick Residence,680,46.83,137.5,6325.0,5234,St Louis,"{'lat': 38.6735203, 'lng': -90.2606289}","{'lat': 38.6735203, 'lng': -90.2606289}"
