ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Value *,BldgSF,Front,Side1,LotSF,Add#,Street,laglng,latlng
43870001800,4910 San Francisco Av,1,69,301,Residential,1 Story Brick Residence,,1127.0,28.0,135.0,3170.0,4910,San Francisco,"{'lat': 38.6761699, 'lng': -90.2487908}","{'lat': 38.6761699, 'lng': -90.2487908}"
44530000800,4856 Palm St,1,55,301,Residential,1 Story Frame Residence,,942.0,20.0,107.5,2280.0,4856,Palm,"{'lat': 38.6738969, 'lng': -90.249172}","{'lat': 38.6738969, 'lng': -90.249172}"
44530001800,4816 Palm St,1,55,301,Residential,1 Story Brick Residence,,750.0,25.0,107.5,2344.0,4816,Palm,"{'lat': 38.6734146, 'lng': -90.2479874}","{'lat': 38.6734146, 'lng': -90.2479874}"
44560000900,4930 Palm St,1,55,301,Residential,1.5 Story Brick Residence,3500.0,1215.0,32.5,100.0,2964.0,4930,Palm,"{'lat': 38.6748552, 'lng': -90.2512172}","{'lat': 38.6748552, 'lng': -90.2512172}"
44560003900,3400 N Kingshighway Blvd,1,55,301,Commercial,2 Story Brick Commercial Building,,,75.0,70.0,4809.0,3400,Kingshighway Memorial,"{'lat': 38.6749435, 'lng': -90.2524155}","{'lat': 38.6749435, 'lng': -90.2524155}"
44890500250,4954-6 Cote Brilliante Av,1,55,301,Residential,2 Story Brick Four Family Flat,6000.0,3536.0,44.0,141.0,5559.0,4954,Cote Brilliante,"{'lat': 38.664889, 'lng': -90.258904}","{'lat': 38.664889, 'lng': -90.258904}"
44890601500,4921 Aldine Av,1,55,301,Residential,2 Story Brick Four Family Flat,,,43.0,115.5,5313.0,4921,Aldine,"{'lat': 38.6610034, 'lng': -90.2529572}","{'lat': 38.6610034, 'lng': -90.2529572}"
44890601600,4927 Aldine Av,1,55,301,Residential,2 Story Brick Four Family Flat,,,43.0,120.5,5792.0,4927,Aldine,"{'lat': 38.6610034, 'lng': -90.2529572}","{'lat': 38.6610034, 'lng': -90.2529572}"
44890601700,4931 Aldine Av,1,55,301,Residential,2 Story Brick Four Family Flat,,,43.0,120.5,5512.0,4931,Aldine,"{'lat': 38.6610034, 'lng': -90.2529572}","{'lat': 38.6610034, 'lng': -90.2529572}"
44890601800,4935 Aldine Av,1,55,301,Residential,2 Story Brick Four Family Flat,,,43.0,120.5,3400.0,4935,Aldine,"{'lat': 38.6610034, 'lng': -90.2529572}","{'lat': 38.6610034, 'lng': -90.2529572}"
44890601900,4939 Aldine Av,1,55,301,Residential,2 Story Brick Four Family Flat,,,43.0,120.5,5666.0,4939,Aldine,"{'lat': 38.6610034, 'lng': -90.2529572}","{'lat': 38.6610034, 'lng': -90.2529572}"
44930200700,4938 St Louis Av,1,55,301,Residential,2 Story Brick Two Family Flat,,,27.16,127.95,3002.0,4938,St Louis,"{'lat': 38.6706682, 'lng': -90.2541014}","{'lat': 38.6706682, 'lng': -90.2541014}"
44930201400,4920 St Louis Av,1,55,301,Residential,2 Story Brick Two Family Flat,,,25.0,127.92,2884.0,4920,St Louis,"{'lat': 38.670404, 'lng': -90.253558}","{'lat': 38.670404, 'lng': -90.253558}"
44930201600,4916 St Louis Av,1,55,301,Residential,2 Story Brick Two Family Flat,,,25.0,128.0,2961.0,4916,St Louis,"{'lat': 38.6703427, 'lng': -90.2533862}","{'lat': 38.6703427, 'lng': -90.2533862}"
52600002600,4911 St Louis Av,1,55,301,Residential,2.5 Story Brick Two Family Flat,,2438.0,30.0,127.5,3825.0,4911,St Louis,"{'lat': 38.6707116, 'lng': -90.25296469999999}","{'lat': 38.6707116, 'lng': -90.25296469999999}"
52600002700,4915-7 St Louis Av,1,55,301,Residential,2 Story Brick Two Family Flat,,2646.0,30.0,127.42,4104.0,4915,St Louis,"{'lat': 38.67071139999999, 'lng': -90.2530747}","{'lat': 38.67071139999999, 'lng': -90.2530747}"
52600002900,4921 St Louis Av,1,55,301,Residential,2 Story Brick Two Family Flat,,2422.0,30.0,127.5,3850.0,4921,St Louis,"{'lat': 38.6707987, 'lng': -90.2532655}","{'lat': 38.6707987, 'lng': -90.2532655}"
52600003200,4931 St Louis Av,1,55,301,Residential,2 Story Brick Two Family Flat,,2452.0,30.0,127.6,3564.0,4931,St Louis,"{'lat': 38.6709561, 'lng': -90.2535147}","{'lat': 38.6709561, 'lng': -90.2535147}"
54640000200,4960 Margaretta Av,1,69,301,Residential,2 Story Frame Residence,,1330.0,35.0,118.95,4163.0,4960,Margaretta,"{'lat': 38.6783661, 'lng': -90.24930739999999}","{'lat': 38.6783661, 'lng': -90.24930739999999}"
54640000500,4950 Margaretta Av,1,69,301,Residential,2 Story Frame Residence,,1330.0,30.0,120.58,6796.0,4950,Margaretta,"{'lat': 38.6781689, 'lng': -90.249017}","{'lat': 38.6781689, 'lng': -90.249017}"
43800300500,4225 N Euclid Av,1,69,302,Residential,2 Story Frame Residence,,1404.0,45.5,115.0,5013.0,4225,Euclid,"{'lat': 38.681303, 'lng': -90.2449812}","{'lat': 38.681303, 'lng': -90.2449812}"
43800401400,4939 Penrose St,1,69,302,Residential,2 Story Frame Residence,,1116.0,37.5,115.0,4208.0,4939,Penrose,"{'lat': 38.6812897, 'lng': -90.2464384}","{'lat': 38.6812897, 'lng': -90.2464384}"
43831700610,4122 Clara Pl,1,69,302,Residential,1 Story Frame Residence,,560.0,75.0,110.0,8192.645155,4122,Clara,"{'lat': 38.679691, 'lng': -90.24777499999999}","{'lat': 38.679691, 'lng': -90.24777499999999}"
43831702200,4113 Walbridge Pl,1,69,302,Residential,1 Story Frame Residence **,,630.0,25.0,110.0,2750.0,4113,Walbridge,"{'lat': 38.679188, 'lng': -90.24762899999999}","{'lat': 38.679188, 'lng': -90.24762899999999}"
43831702400,4107 Walbridge Pl,1,69,302,Residential,1 Story Frame Residence,,952.0,50.0,110.0,3150.0,4107,Walbridge,"{'lat': 38.6790865, 'lng': -90.24760239999999}","{'lat': 38.6790865, 'lng': -90.24760239999999}"
43880500800,4878 Margaretta Av,1,69,302,Residential,1 Story Frame Residence,,829.0,40.0,129.25,5304.0,4878,Margaretta,"{'lat': 38.676965, 'lng': -90.24687899999999}","{'lat': 38.676965, 'lng': -90.24687899999999}"
43903101400,4846 Anderson Av,1,69,302,Residential,2 Story Brick Four Family Flat,,,42.0,119.48,5242.0,4846,Anderson,"{'lat': 38.6810934, 'lng': -90.2423692}","{'lat': 38.6810934, 'lng': -90.2423692}"
43903102100,4816 Anderson Av,1,69,302,Residential,1 Story Brick Residence,,,30.0,118.5,4061.0,4816,Anderson,"{'lat': 38.6807576, 'lng': -90.2414436}","{'lat': 38.6807576, 'lng': -90.2414436}"
43903103000,4817 Bessie Av,1,69,302,Residential,1 Story Brick Residence,,,27.0,119.5,3875.0,4817,Bessie,"{'lat': 38.6803168, 'lng': -90.2417461}","{'lat': 38.6803168, 'lng': -90.2417461}"
43910102700,4875 Carter Av,1,69,302,Residential,2 Story Frame Residence,,912.0,30.0,120.0,4198.0,4875,Carter,"{'lat': 38.683526, 'lng': -90.24207899999999}","{'lat': 38.683526, 'lng': -90.24207899999999}"
43910102800,4877 Carter Av,1,69,302,Residential,2 Story Frame Residence,,912.0,30.0,120.0,3600.0,4877,Carter,"{'lat': 38.683571, 'lng': -90.242181}","{'lat': 38.683571, 'lng': -90.242181}"
43910203800,4833 Calvin Av,1,69,302,Residential,2 Story Frame Residence,1500.0,,30.0,121.5,3586.0,4833,Calvin,"{'lat': 38.6820376, 'lng': -90.24115950000001}","{'lat': 38.6820376, 'lng': -90.24115950000001}"
54630001000,4936 Farlin Av,1,69,302,Residential,2 Story Frame Residence,,1184.0,30.0,120.0,3600.0,4936,Farlin,"{'lat': 38.6787784, 'lng': -90.2480607}","{'lat': 38.6787784, 'lng': -90.2480607}"
54630001900,4023-5 N Euclid Av,1,69,302,Residential,1 Story Brick Two Family Flat,,1932.0,67.5,80.0,5923.0,4023,Euclid,"{'lat': 38.6783209, 'lng': -90.24705089999999}","{'lat': 38.6783209, 'lng': -90.24705089999999}"
44590600400,4728 Ashland Ct,1,55,307,Residential,1 Story Brick Residence **,,,25.0,106.0,2650.0,4728,Ashland,"{'lat': 38.6712834, 'lng': -90.2467929}","{'lat': 38.6712834, 'lng': -90.2467929}"
44590601800,3401 Marcus Av,1,55,307,Residential,a/k/a 4703 Ashland-2 Story Brick Four Family Flat,,,30.0,110.0,2935.274657,3401,Marcus,"{'lat': 38.6705107, 'lng': -90.24635590000001}","{'lat': 38.6705107, 'lng': -90.24635590000001}"
44810302000,4758 Ashland Av,1,55,307,Residential,2 Story Brick Two Family Flat,,2652.0,37.5,166.33,6566.0,4758,Ashland,"{'lat': 38.671015, 'lng': -90.2482723}","{'lat': 38.671015, 'lng': -90.2482723}"
44810302100,4756 Ashland Av,1,55,307,Residential,1 Story Brick Residence,,783.0,25.0,166.33,4944.0,4756,Ashland,"{'lat': 38.6709619, 'lng': -90.24820989999999}","{'lat': 38.6709619, 'lng': -90.24820989999999}"
