ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Value *,Front,Side1,LotSF,Add#,Street,laglng,latlng
44530000400,4864 Palm St,1,55,301,Vacant Lot,,,20.0,107.5,2457.0,4864,Palm,"{'lat': 38.6740942, 'lng': -90.249409}","{'lat': 38.6740942, 'lng': -90.249409}"
44530002250,4800 Palm St,1,55,301,Vacant Lot,,,50.0,107.6,5312.9997825,4800,Palm,"{'lat': 38.6731918, 'lng': -90.2474302}","{'lat': 38.6731918, 'lng': -90.2474302}"
44540003300,4857R Palm St,1,55,301,Vacant Lot,,,18.0,120.0,3908.921171,4857,Palm,"{'lat': 38.6745414, 'lng': -90.248849}","{'lat': 38.6745414, 'lng': -90.248849}"
44550002250,4947-9 Palm St,1,55,301,Vacant Lot,,8000.0,50.0,130.0,6021.0,4947,Palm,"{'lat': 38.675252, 'lng': -90.251087}","{'lat': 38.675252, 'lng': -90.251087}"
44550002350,4951-3 Palm St,1,55,301,Vacant Lot,,8000.0,50.0,130.0,6254.0,4951,Palm,"{'lat': 38.675317, 'lng': -90.251239}","{'lat': 38.675317, 'lng': -90.251239}"
44550002400,4957 Palm St,1,55,301,Vacant Lot,,9500.0,50.0,150.0,6681.0,4957,Palm,"{'lat': 38.675402, 'lng': -90.25137590000001}","{'lat': 38.675402, 'lng': -90.25137590000001}"
44560000800,4932 Palm St,1,55,301,Vacant Lot,,,32.5,100.0,3300.0,4932,Palm,"{'lat': 38.674892, 'lng': -90.25131449999999}","{'lat': 38.674892, 'lng': -90.25131449999999}"
44560003100,4935 Lexington Av,1,55,301,Vacant Lot,,,32.5,100.0,3243.777363500001,4935,Lexington,"{'lat': 38.674556, 'lng': -90.25147299999999}","{'lat': 38.674556, 'lng': -90.25147299999999}"
44560003700,4963 Lexington Av,1,55,301,Vacant Lot,,,32.5,100.0,3407.0,4963,Lexington,"{'lat': 38.67481000000001, 'lng': -90.252056}","{'lat': 38.67481000000001, 'lng': -90.252056}"
44560003800,4965 Lexington Av,1,55,301,Vacant Lot,,,32.66,100.0,3776.0,4965,Lexington,"{'lat': 38.674858, 'lng': -90.2521639}","{'lat': 38.674858, 'lng': -90.2521639}"
