Parcel ID,Address,Ward,Neigh,AssN,Usage,Description,Value *,BldgSF,Front,Side1,LotSF,Add#,Street Name
43870001800,4910 San Francisco Av,1,69,301,Residential,1 Story Brick Residence,,1127.0,28.0,135.0,3170.0,4910,San Francisco
44530000800,4856 Palm St,1,55,301,Residential,1 Story Frame Residence,,942.0,20.0,107.5,2280.0,4856,Palm
44530001800,4816 Palm St,1,55,301,Residential,1 Story Brick Residence,,750.0,25.0,107.5,2344.0,4816,Palm
44560000900,4930 Palm St,1,55,301,Residential,1.5 Story Brick Residence,3500.0,1215.0,32.5,100.0,2964.0,4930,Palm
44560003900,3400 N Kingshighway Blvd,1,55,301,Commercial,2 Story Brick Commercial Building,,,75.0,70.0,4809.0,3400,Kingshighway Memorial
44890500250,4954-6 Cote Brilliante Av,1,55,301,Residential,2 Story Brick Four Family Flat,6000.0,3536.0,44.0,141.0,5559.0,4954,Cote Brilliante
44890601500,4921 Aldine Av,1,55,301,Residential,2 Story Brick Four Family Flat,,,43.0,115.5,5313.0,4921,Aldine
44890601600,4927 Aldine Av,1,55,301,Residential,2 Story Brick Four Family Flat,,,43.0,120.5,5792.0,4927,Aldine
44890601700,4931 Aldine Av,1,55,301,Residential,2 Story Brick Four Family Flat,,,43.0,120.5,5512.0,4931,Aldine
44890601800,4935 Aldine Av,1,55,301,Residential,2 Story Brick Four Family Flat,,,43.0,120.5,3400.0,4935,Aldine
44890601900,4939 Aldine Av,1,55,301,Residential,2 Story Brick Four Family Flat,,,43.0,120.5,5666.0,4939,Aldine
44930200700,4938 St Louis Av,1,55,301,Residential,2 Story Brick Two Family Flat,,,27.16,127.95,3002.0,4938,St Louis
44930201400,4920 St Louis Av,1,55,301,Residential,2 Story Brick Two Family Flat,,,25.0,127.92,2884.0,4920,St Louis
44930201600,4916 St Louis Av,1,55,301,Residential,2 Story Brick Two Family Flat,,,25.0,128.0,2961.0,4916,St Louis
52600002600,4911 St Louis Av,1,55,301,Residential,2.5 Story Brick Two Family Flat,,2438.0,30.0,127.5,3825.0,4911,St Louis
52600002700,4915-7 St Louis Av,1,55,301,Residential,2 Story Brick Two Family Flat,,2646.0,30.0,127.42,4104.0,4915,St Louis
52600002900,4921 St Louis Av,1,55,301,Residential,2 Story Brick Two Family Flat,,2422.0,30.0,127.5,3850.0,4921,St Louis
52600003200,4931 St Louis Av,1,55,301,Residential,2 Story Brick Two Family Flat,,2452.0,30.0,127.6,3564.0,4931,St Louis
54640000200,4960 Margaretta Av,1,69,301,Residential,2 Story Frame Residence,,1330.0,35.0,118.95,4163.0,4960,Margaretta
54640000500,4950 Margaretta Av,1,69,301,Residential,2 Story Frame Residence,,1330.0,30.0,120.58,6796.0,4950,Margaretta
43800300500,4225 N Euclid Av,1,69,302,Residential,2 Story Frame Residence,,1404.0,45.5,115.0,5013.0,4225,Euclid
43800401400,4939 Penrose St,1,69,302,Residential,2 Story Frame Residence,,1116.0,37.5,115.0,4208.0,4939,Penrose
43831700610,4122 Clara Pl,1,69,302,Residential,1 Story Frame Residence,,560.0,75.0,110.0,8192.645155,4122,Clara
43831702200,4113 Walbridge Pl,1,69,302,Residential,1 Story Frame Residence **,,630.0,25.0,110.0,2750.0,4113,Walbridge
43831702400,4107 Walbridge Pl,1,69,302,Residential,1 Story Frame Residence,,952.0,50.0,110.0,3150.0,4107,Walbridge
